[2026-04-26 02:48:12.363] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":15}
[2026-04-26 02:48:12.365] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":16}
[2026-04-26 02:48:12.367] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":17}
[2026-04-26 02:48:12.369] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":18}
[2026-04-26 02:48:12.373] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":19}
[2026-04-26 02:48:12.392] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":20}
[2026-04-26 02:48:12.396] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":21}
[2026-04-26 02:48:12.486] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":22}
[2026-04-26 02:48:12.489] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":23}
[2026-04-26 02:48:12.491] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":27}
[2026-04-26 02:48:12.491] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":39}
[2026-04-26 02:48:12.612] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":40}
[2026-04-26 02:48:12.614] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":41}
[2026-04-26 02:48:12.616] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":47}
[2026-04-26 02:48:12.616] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":55}
[2026-04-26 02:48:12.655] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":56}
[2026-04-26 02:48:12.661] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":57}
[2026-04-26 02:48:12.662] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":60}
[2026-04-26 02:48:12.662] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":61}
[2026-04-26 02:48:12.667] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":62}
[2026-04-26 02:48:12.667] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":63}
[2026-04-26 02:48:12.670] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":64}
[2026-04-26 02:48:12.670] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":65}
[2026-04-26 02:48:12.672] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":66}
[2026-04-26 02:48:12.679] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":68}
[2026-04-26 02:48:12.681] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":69}
[2026-04-26 02:48:12.682] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":70}
[2026-04-26 02:48:12.714] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":71}
[2026-04-26 02:48:12.717] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":72}
[2026-04-26 02:48:12.718] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":74}
[2026-04-26 02:48:12.719] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":75}
[2026-04-26 02:48:12.721] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":76}
[2026-04-26 02:48:12.724] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":77}
[2026-04-26 02:48:12.726] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":78}
[2026-04-26 02:48:12.733] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":79}
[2026-04-26 02:48:12.734] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":81}
[2026-04-26 02:48:12.737] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":82}
[2026-04-26 02:48:12.740] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":83}
[2026-04-26 02:48:12.740] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":84}
[2026-04-26 02:48:12.746] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":85}
[2026-04-26 02:48:12.747] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":86}
[2026-04-26 02:48:12.749] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":87}
[2026-04-26 02:48:12.749] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":88}
[2026-04-26 02:48:12.754] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":89}
[2026-04-26 02:48:12.756] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":90}
[2026-04-26 02:48:12.757] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":91}
[2026-04-26 02:48:12.774] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":92}
[2026-04-26 02:48:12.777] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":93}
[2026-04-26 02:48:12.782] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":94}
[2026-04-26 02:48:12.783] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":95}
[2026-04-26 02:48:12.787] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":96}
[2026-04-26 02:48:12.787] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":97}
[2026-04-26 02:48:12.791] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":98}
[2026-04-26 02:48:12.791] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":99}
[2026-04-26 02:48:12.798] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":3,"total":6,"progress":100}
[2026-04-26 02:48:12.798] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6}
[2026-04-26 02:48:13.515] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":2}
[2026-04-26 02:48:13.517] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":9}
[2026-04-26 02:48:13.517] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":22}
[2026-04-26 02:48:13.518] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":36}
[2026-04-26 02:48:13.588] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":37}
[2026-04-26 02:48:13.589] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":38}
[2026-04-26 02:48:13.590] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":40}
[2026-04-26 02:48:13.593] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":41}
[2026-04-26 02:48:13.593] [info]  splashScreenPreload: onStateUpdate: {"status":"downloading-updates","current":4,"total":6,"progress":42}
